name,number,date_of_birth,age,height,citizenship,position,foot,joined,contract_expires,outfitter,player_id,club_id,country_of_birth,city_of_birth
rene,6,1992-09-14,31,1.74,Brazil,Defender - Left-Back,left,2022-04-11,2024-12-31,adidas,212209,6600,Brazil,Picos
joao dalla corte,0,2006-06-07,17,1.78,Brazil,Defender - Centre-Back,left,2024-01-01,2025-12-31,,1004735,6600,Brazil,Encruzilhada do Sul
dalbert,29,1993-09-08,30,1.81,Brazil,Defender - Left-Back,left,2024-04-17,2024-12-31,,312862,6600,Brazil,Barra Mansa
felipe motta,52,2003-08-03,20,1.87,Brazil,Defender - Centre-Back,,2024-02-23,2025-06-30,,1083638,6600,Brazil,Rio de Janeiro
igor gomes,3,2001-03-06,23,1.85,Brazil,Defender - Centre-Back,right,2022-08-05,2024-12-31,Nike,689640,6600,Brazil,Barra Mansa
gabriel mercado,25,1987-03-18,37,1.8,Argentina,Defender - Centre-Back,right,2021-07-05,2024-12-31,Nike,45319,6600,Argentina,Puerto Madryn
rodrigo moledo,0,1987-10-27,36,1.88,Brazil,Defender - Centre-Back,right,2024-01-01,,Nike,119434,6600,Brazil,Rio de Janeiro
nicolas hernandez,2,1998-01-18,26,1.85,Colombia,Defender - Centre-Back,left,2024-01-12,2024-12-31,Nike,643750,6600,Colombia,Villavicencio
anthoni,24,2002-01-23,22,1.93,Brazil,Goalkeeper,right,2023-01-01,2024-12-31,Nike,869437,6600,Brazil,Canela
vitao,44,2000-02-02,24,1.85,Brazil,Defender - Centre-Back,right,2022-04-08,2024-06-30,adidas,428783,6600,Brazil,Jacarezinho
keiller,13,1996-10-29,27,1.93,Brazil,Goalkeeper,right,2024-02-05,2024-12-31,,417084,6600,Brazil,Eldorado do Sul
emerson junior,0,2000-02-07,24,1.96,Brazil,Goalkeeper,right,2024-01-01,2024-12-31,,813038,6600,Brazil,Estância Velha
john victor,12,1996-02-13,28,1.97,Brazil,Goalkeeper,right,2024-01-04,2027-06-30,adidas,432914,6600,Brazil,Diadema
sergio rochet,1,1993-03-23,31,1.9,Uruguay,Goalkeeper,right,2023-07-13,2026-12-31,,264014,6600,Uruguay,Nueva Palmira
